filename,education_score,experience_years,experience_score,keyword_score,jd_similarity,total_score,skills
20237244.pdf,4,0,0,0.0,0.36015422927156365,0.8900385573178909,"{'programming': 0, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 0}"
17987433.pdf,4,0,0,0.0,0.3936351023210824,0.8984087755802707,"{'programming': 0, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 0}"
13477922.pdf,4,0,0,0.0,0.4993525140685715,0.924838128517143,"{'programming': 0, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 0}"
12045067.pdf,4,0,0,0.0,0.6219612957088365,0.9554903239272092,"{'programming': 0, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 0}"
40018190.pdf,4,0,0,0.0,0.6634552741770565,0.9658638185442642,"{'programming': 0, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 0}"
15802627.pdf,4,0,0,0.0,0.8083650231914324,1.002091255797858,"{'programming': 0, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 0}"
10839851.pdf,4,0,0,0.0,0.8993520211009821,1.0248380052752455,"{'programming': 0, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 0}"
64017585.pdf,4,0,0,1.5,0.23637529360616255,1.2340938234015406,"{'programming': 0, 'data_science': 0, 'cloud': 1, 'databases': 0, 'soft_skills': 0}"
29051656.pdf,4,0,0,1.7790697674418603,0.3936743388718664,1.3431860265784317,"{'programming': 10, 'data_science': 0, 'cloud': 4, 'databases': 27, 'soft_skills': 2}"
19796840.pdf,4,0,0,2.083333333333333,0.21565806310433983,1.3747478491094183,"{'programming': 3, 'data_science': 0, 'cloud': 0, 'databases': 5, 'soft_skills': 4}"
66832845.pdf,4,0,0,2.0,0.30784949909725823,1.3769623747743145,"{'programming': 0, 'data_science': 0, 'cloud': 1, 'databases': 0, 'soft_skills': 1}"
20824105.pdf,4,0,0,1.90625,0.4466989864027817,1.3882372466006956,"{'programming': 9, 'data_science': 0, 'cloud': 15, 'databases': 4, 'soft_skills': 4}"
18187364.pdf,4,0,0,1.8888888888888888,0.575768182959427,1.416164267962079,"{'programming': 13, 'data_science': 2, 'cloud': 0, 'databases': 21, 'soft_skills': 0}"
18067556.pdf,4,0,0,2.0833333333333335,0.38904338235236025,1.4180941789214234,"{'programming': 23, 'data_science': 9, 'cloud': 10, 'databases': 8, 'soft_skills': 4}"
12763627.pdf,4,0,0,2.1296296296296298,0.4090410380844684,1.4346676669285245,"{'programming': 16, 'data_science': 0, 'cloud': 0, 'databases': 10, 'soft_skills': 1}"
79541391.pdf,4,0,0,2.3000000000000003,0.2557989978481145,1.4389497494620287,"{'programming': 6, 'data_science': 4, 'cloud': 0, 'databases': 0, 'soft_skills': 0}"
30223363.pdf,4,0,0,2.183333333333333,0.37432349380898366,1.439414206785579,"{'programming': 15, 'data_science': 1, 'cloud': 0, 'databases': 9, 'soft_skills': 5}"
10089434.pdf,4,0,0,2.0,0.5633329093051391,1.440833227326285,"{'programming': 6, 'data_science': 0, 'cloud': 6, 'databases': 0, 'soft_skills': 0}"
24020470.pdf,4,0,0,2.0,0.5681883893753332,1.4420470973438333,"{'programming': 0, 'data_science': 0, 'cloud': 1, 'databases': 0, 'soft_skills': 1}"
48037995.pdf,4,0,0,2.0,0.5894407231601742,1.4473601807900436,"{'programming': 0, 'data_science': 1, 'cloud': 0, 'databases': 0, 'soft_skills': 0}"
13836471.pdf,4,0,0,2.25,0.3537840027437416,1.4509460006859354,"{'programming': 9, 'data_science': 0, 'cloud': 0, 'databases': 3, 'soft_skills': 0}"
21283365.pdf,4,0,0,2.227272727272727,0.397184742373585,1.4561143674115782,"{'programming': 1, 'data_science': 0, 'cloud': 3, 'databases': 0, 'soft_skills': 7}"
17681064.pdf,4,0,0,2.2333333333333334,0.41011899038558675,1.46086308092973,"{'programming': 0, 'data_science': 0, 'cloud': 1, 'databases': 3, 'soft_skills': 11}"
91121135.pdf,4,0,0,2.25,0.40376298761673174,1.463440746904183,"{'programming': 0, 'data_science': 2, 'cloud': 0, 'databases': 0, 'soft_skills': 2}"
31243710.pdf,4,0,0,2.1666666666666665,0.5288372935173105,1.4738759900459943,"{'programming': 7, 'data_science': 0, 'cloud': 0, 'databases': 6, 'soft_skills': 5}"
20024870.pdf,4,0,0,2.416666666666667,0.2925562625349201,1.4773057323003969,"{'programming': 5, 'data_science': 1, 'cloud': 0, 'databases': 0, 'soft_skills': 0}"
27295996.pdf,4,0,0,2.1666666666666665,0.5454095798893966,1.4780190616390159,"{'programming': 3, 'data_science': 2, 'cloud': 2, 'databases': 0, 'soft_skills': 2}"
10265057.pdf,4,0,0,2.3333333333333335,0.39659497718231823,1.482482077628913,"{'programming': 7, 'data_science': 4, 'cloud': 0, 'databases': 0, 'soft_skills': 1}"
52246737.pdf,4,0,0,2.125,0.6071132804794066,1.4830283201198518,"{'programming': 0, 'data_science': 3, 'cloud': 0, 'databases': 0, 'soft_skills': 1}"
32959732.pdf,4,0,0,1.875,0.8624058466828145,1.4843514616707036,"{'programming': 2, 'data_science': 0, 'cloud': 9, 'databases': 1, 'soft_skills': 4}"
18159866.pdf,4,0,0,2.0,0.745595731760948,1.486398932940237,"{'programming': 0, 'data_science': 0, 'cloud': 1, 'databases': 5, 'soft_skills': 6}"
29075857.pdf,4,0,0,2.289473684210526,0.4881902543313763,1.4944159846354759,"{'programming': 2, 'data_science': 4, 'cloud': 0, 'databases': 2, 'soft_skills': 11}"
28697203.pdf,4,0,0,2.5,0.28585820918114674,1.4964645522952866,"{'programming': 0, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 5}"
52618188.pdf,4,0,0,2.3,0.5040658637977045,1.501016465949426,"{'programming': 0, 'data_science': 0, 'cloud': 0, 'databases': 2, 'soft_skills': 8}"
81761658.pdf,4,0,0,2.5,0.31165389777401853,1.5029134744435046,"{'programming': 0, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 4}"
57002858.pdf,4,0,0,2.5,0.3139368535414988,1.5034842133853747,"{'programming': 2, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 5}"
38753827.pdf,4,0,0,2.25,0.5684499847389675,1.504612496184742,"{'programming': 0, 'data_science': 0, 'cloud': 1, 'databases': 0, 'soft_skills': 3}"
15118506.pdf,4,0,0,2.5,0.3250484016920012,1.5062621004230003,"{'programming': 1, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 5}"
41344156.pdf,4,0,0,2.2272727272727275,0.6016052155208184,1.5072194856983865,"{'programming': 4, 'data_science': 2, 'cloud': 0, 'databases': 2, 'soft_skills': 3}"
12334140.pdf,4,0,0,2.4285714285714284,0.40167870634293895,1.5075625337285918,"{'programming': 2, 'data_science': 1, 'cloud': 0, 'databases': 0, 'soft_skills': 4}"
37764298.pdf,4,0,0,2.5,0.33597528985308606,1.5089938224632715,"{'programming': 2, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 0}"
26768723.pdf,4,0,0,2.5,0.34506251478537614,1.5112656286963442,"{'programming': 2, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 0}"
10553553.pdf,4,0,0,2.5,0.34544182911359195,1.511360457278398,"{'programming': 3, 'data_science': 0, 'cloud': 0, 'databases': 0, 'soft_skills': 1}"
