Rank,Resume Index,Resume Text
1,1460,"ENGINEERING OPERATIONS DIRECTOR
Executive Profile
Senior Software Executive Senior Software Executive who is a key contributor to strategic planning and product development. Highly skilled at
creating and implementing key software improvements and process changes by uncovering major process limitations, maximizing profitability,
scalability, and competition in the global marketplace. Accomplishments (over last 15 years +) Reported directly to C-level executives and Board
members, successfully br..."
2,2112,"INFORMATION TECHNOLOGY SPECIALIST
Experience
Information Technology Specialist
 
, 
08/2015
 
to 
05/2020
 
Company Name
 
â€“ 
State
 
Build, implement or support electronic health records and other systems that store patient's data.
Assisted in network management and software development.
Took periodic review of set standards and database.
Principal Chemical Engineer / Information Technology Specialist
 
, 
10/2005
 
to 
06/2015
 
National Board for Technology Incubation, Abuja Nigeria 
(Feder..."
3,1465,"ENGINEERING AND QUALITY TECHNICIAN
Career Overview
A highly experienced skilled graduate with Analytics degree with a very good experience in SAS, Web scraping, SQL, Predictive modelling and
data visualization. Excellent ability in identifying data requirements for analysis, data cleaning, munging and model building; Ensures the organization
uses it effectively to reach profit and growth objectives. Comfortable with data handling, modeling, and coding, and have an appreciation of what
makes sens..."
4,1935,"HR REPRESENTATIVE
Summary
A motivated business partner who communicates and collaborates effectively with all levels of personnel by relying on outstanding interpersonal
and customer service skills, excellent sense of urgency and time management skills and taking pride in delivering high quality work.
Highlights
provide a high level of service to both internal and
external clients and candidates
possess excellent communication skills
an organizational guru communication skills,
have the ability ..."
5,513,"DATA ANALYST
Professional Summary
Industrial and Systems Engineering graduate, certified Base SAS Programmer and a Lean Six Sigma Green Belt with strong background in
statistics, mathematics and logical problem solving looking for a dynamic opportunity in data driven fields of analytics and statistical modeling.
Core Qualifications
Data Science Tools: R, Base SAS, Python (Numpy, Pandas, Matplotlib, Scikit- learn), SPSS, Minitab, MATLAB, Apache Spark, SQL, MS
Excel, MS Visio, Tableau MySQL, Oracl..."
6,549,"SOFTWARE ENGINEERING CO-OP
Summary
Highly skilled 
and Accomplished computer software specialist with more than 7+ years of technical experience in programming development
across multiple platforms, software design, development and integration. 
Advanced knowledge of MySQL, CSS, C++ with expertise in all aspects
of the software development life cycle, including requirements analysis, design, development and production support. 
Experienced Software
Developer dedicated to constantly improving too..."
7,1557,"SOFTWARE ENGINEERING MANAGER
Summary
Multifaceted technical career with 15+ years' track record of innovation and success. Accomplished, enthusiastic, and driven Software Engineer
with a solid history of effective systems engineering in Client/Server/ Web / Enterprise software and SaaS / SOA development. Well recognized
for strong leadership and project management abilities while leading cross-functional teams in fast-paced, competitive work environments. 
Willing
to multitask on projects in per..."
8,2086,"INFORMATION TECHNOLOGY SPECIALIST
Professional Profile
Quality-driven and practical Systems Administrator with [Number] years aligning business systems with business policies and guidelines. Looking
to bring strong analytical and problem-solving skills to an industry-leading software company.
Qualifications
CompTIA Security + CE SY0-401
Certified
Refined system debugging and
diagnostic skills
Excellent analytical, interpersonal,
communication and organizational skills
System administration
UNIX ..."
9,1178,"Pavithra Shetty
Summary
Customer-oriented Principal Consultant knowledgeable about developing and implementing successful business solutions that drive productivity
and growth. Offering expertise in SQL, Data Visualization, Scripting language and more than 6 years of experience in the software industry.
Experience
Principal Consultant
 
Company Name
 
| 
City
 
, 
State
 
| 
June 2018
 
- 
Current
Design, Develop, Test and Document Business Intelligence reports:
Gather Business needs to develop ..."
10,734,"CORPORATE BANKING ASSISTANT, INTERN
Objective
Dynamic and self-motivated Financial Data Analyst with diverse expertiseÂ in programming, mathematics and finance.Â Has extensive experience
of assisting in the development and upgrading of database systems and analytical techniques.Â A quick learner who can absorb new ideas and can
communicate clearly and effectively.
Skills
Programming Language: C/C++, Python, MATLAB, SQL, R, LUA, VBA
Machine Learning: Supervised Learning, Unsupervised Learning, De..."
