Rank,Resume Index,Cosine Similarity,Recruiter Feedback,Candidate Feedback,Resume Snippet
1,1465,0.14522413604676995,"Semantic Similarity Score: 0.11. Matching Keywords: python, projects, software, strong, experience, analysis, data, machine, learning. Missing Keywords: candidate, expertise, real, solving, problem, engineer, abilities, demonstrate, world, hands, seeking.","Consider adding details to showcase the following skills/keywords: candidate, expertise, real, solving, problem, engineer, abilities, demonstrate, world, hands, seeking.","ENGINEERING AND QUALITY TECHNICIAN 
 Career Overview 
 A highly experienced skilled graduate with Analytics degree with a very good experience in SAS , Web scraping , SQL , Predictive modelling and 
 data visualization . Excellent ability in identifying data requirements for analysis , data cleaning , munging and model building ; Ensures the organization 
 uses it effectively to reach profit and growth objectives . Comfortable with data handling , modeling , and coding , and have an appreciation..."
2,1935,0.1303949873255988,"Semantic Similarity Score: 0.09. Matching Keywords: candidate, solving, strong, experience, problem, data, world. Missing Keywords: python, expertise, real, seeking, hands, projects, software, analysis, engineer, abilities, demonstrate, machine, learning.","Consider adding details to showcase the following skills/keywords: python, expertise, real, seeking, hands, projects, software, analysis, engineer, abilities, demonstrate, machine, learning.","HR REPRESENTATIVE 
 Summary 
 A motivated business partner who communicates and collaborates effectively with all levels of personnel by relying on outstanding interpersonal 
 and customer service skills , excellent sense of urgency and time management skills and taking pride in delivering high quality work . 
 Highlights 
 Ability to multi - task and work in a extremely fast paced environment . 
 service focus with a demonstrated desire to exceed 
 expectations . 
 Ability to handle confidentia..."
3,513,0.12434495317336448,"Semantic Similarity Score: 0.10. Matching Keywords: python, projects, solving, strong, experience, analysis, problem, data. Missing Keywords: candidate, expertise, real, seeking, hands, software, engineer, abilities, demonstrate, world, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, expertise, real, seeking, hands, software, engineer, abilities, demonstrate, world, machine, learning.","DATA ANALYST 
 Professional Summary 
 Industrial and Systems Engineering graduate , certified Base SAS Programmer and a Lean Six Sigma Green Belt with strong background in 
 statistics , mathematics and logical problem solving looking for a dynamic opportunity in data driven fields of analytics and statistical modeling . 
 Core Qualifications 
 Data Science Tools : R , Base SAS , Python ( Numpy , , , Scikit- learn ) , SPSS , , MATLAB , , , MS 
 Excel , , MySQL , , Microsoft Access Key Competenci..."
4,517,0.12410545996599655,"Semantic Similarity Score: 0.11. Matching Keywords: python, expertise, real, hands, projects, software, experience, analysis, engineer, data, machine, learning. Missing Keywords: candidate, solving, strong, problem, demonstrate, abilities, world, seeking.","Consider adding details to showcase the following skills/keywords: candidate, solving, strong, problem, demonstrate, abilities, world, seeking.","Highlights 
 Prog . Languages : C ( 5 + yrs ) , Python ( 3 + yrs ) , ( 3 + yrs ) , MATLAB ( Simulink ) ( 5 + yrs ) , R ( 2 yrs ) , Processing ( 2yrs ) , SQL(4 + yrs ) , 
 PLC(2 yrs ) 
 Doc . Editing : Word / PPT / Excel , Pages / Numbers / Keynote , LATEX 
 Mechanical Design : AutoCAD ( 6 yrs ) , ( 5 + yrs ) 
 Mechanical Skills : MakerBot 3D print , Laser cut , , , . 
 Statistics Softwares : , SPSS 
 Database Softwares : ( 4 yrs ) , ( 2 yrs ) 
 Operating Systems : Windows 7/10 , OS X 
 Experienc..."
5,1178,0.11727366993292562,"Semantic Similarity Score: 0.10. Matching Keywords: python, expertise, projects, software, experience, analysis, engineer, data, machine, learning. Missing Keywords: candidate, real, solving, strong, problem, demonstrate, abilities, world, hands, seeking.","Consider adding details to showcase the following skills/keywords: candidate, real, solving, strong, problem, demonstrate, abilities, world, hands, seeking.","
 Summary 
 Customer - oriented Principal Consultant knowledgeable about developing and implementing successful business solutions that drive productivity 
 and growth . Offering expertise in , Data Visualization , Scripting language and more than 6 years of experience in the software industry . 
 Experience 
 Principal Consultant Company Name | , State | June 2018 - Current 
 Design , Develop , Test and Document Business Intelligence reports : 
 Gather Business needs to develop interactive dash..."
6,1560,0.11314442900968781,"Semantic Similarity Score: 0.09. Matching Keywords: python, real, projects, strong, experience, analysis, engineer, machine, software. Missing Keywords: candidate, expertise, seeking, solving, problem, demonstrate, abilities, data, world, hands, learning.","Consider adding details to showcase the following skills/keywords: candidate, expertise, seeking, solving, problem, demonstrate, abilities, data, world, hands, learning.","ENGINEERING MANAGER 
 Summary 
 Versatile bilingual Electronics and Instrumentation Engineer with multi industry experience of + 9 years demonstrated ability to lead an engineering 
 team , and handle multiple projects from conceptualization through fabrication with high accuracy and in a timely manner . 
 Highlights 
 Fluent in Spanish 
 Strong decision maker Autocad and SAP user 
 Work well under pressure Python and Labview training 
 Initiative to work independently ASME and OSHA training 
 i..."
7,2086,0.11308131521479985,"Semantic Similarity Score: 0.10. Matching Keywords: candidate, real, software, solving, strong, experience, analysis, problem, engineer, data, machine, learning. Missing Keywords: python, expertise, projects, demonstrate, abilities, world, hands, seeking.","Consider adding details to showcase the following skills/keywords: python, expertise, projects, demonstrate, abilities, world, hands, seeking.","INFORMATION TECHNOLOGY SPECIALIST 
 Professional Profile 
 Quality - driven and practical Systems Administrator with [ Number ] years aligning business systems with business policies and guidelines . Looking 
 to bring strong analytical and problem - solving skills to an industry - leading software company . 
 Qualifications 
 CompTIA Security + CE SY0 - 401 
 Certified 
 Refined system debugging and 
 diagnostic skills 
 Working knowledge of application servers , J2EE , Oracle , Unix O / S , , ..."
8,1460,0.10988774019904293,"Semantic Similarity Score: 0.09. Matching Keywords: python, real, strong, experience, engineer, machine, software. Missing Keywords: candidate, expertise, seeking, projects, solving, analysis, problem, demonstrate, abilities, data, world, hands, learning.","Consider adding details to showcase the following skills/keywords: candidate, expertise, seeking, projects, solving, analysis, problem, demonstrate, abilities, data, world, hands, learning.","ENGINEERING OPERATIONS DIRECTOR 
 Executive Profile 
 Senior Software Executive Senior Software Executive who is a key contributor to strategic planning and product development . Highly skilled at 
 creating and implementing key software improvements and process changes by uncovering major process limitations , maximizing profitability , 
 scalability , and competition in the global marketplace . Accomplishments ( over last 15 years + ) Reported directly to C - level executives and Board 
 membe..."
9,1110,0.10854108910058753,"Semantic Similarity Score: 0.08. Matching Keywords: expertise, projects, experience, analysis, problem, engineer, world, software. Missing Keywords: candidate, python, real, seeking, hands, solving, strong, demonstrate, abilities, data, machine, learning.","Consider adding details to showcase the following skills/keywords: candidate, python, real, seeking, hands, solving, strong, demonstrate, abilities, data, machine, learning.","PROJECT ENGINEER & PROJECT MANAGER 
 Summary 
 I have a Construction Project Manager and Engineer with over 20 years of experience , including recent projects in commercial and multi 
 residential . Expert at problem - resolution and planning and managing projects from inception through completion . I am experienced in supervising 
 all levels of technicians , engineers , and craft and in building relationships with international teams of managers and staff . I have an excellent oral and 
 writt..."
10,734,0.10537540395171624,"Semantic Similarity Score: 0.08. Matching Keywords: python, experience, analysis, data, machine, learning. Missing Keywords: candidate, expertise, real, seeking, projects, solving, strong, problem, engineer, abilities, demonstrate, world, hands, software.","Consider adding details to showcase the following skills/keywords: candidate, expertise, real, seeking, projects, solving, strong, problem, engineer, abilities, demonstrate, world, hands, software.","CORPORATE BANKING ASSISTANT , INTERN 
 Objective 
 Dynamic and self - motivated Financial Data Analyst with diverse expertiseÂ in programming , mathematics and finance . Â Has extensive experience 
 of assisting in the development and upgrading of database systems and analytical techniques . Â A quick learner who can absorb new ideas and can 
 communicate clearly and effectively . 
 Skills 
 Programming Language : C / C++ , Python , MATLAB , SQL , R , LUA , VBA 
 Machine Learning : , Unsupervise..."
